ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight(kg),Length(cm),Width(cm),Height(cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position
103744064,simple,8999652071643,Đèn bắt muỗi Điện Quang ĐQ EML06L ,1,0,visible,,"Đèn Bắt Muỗi Điện Quang ĐQ EML06L (380x65x250mm)ĐÈN BẮT MUỖI ĐIỆN QUANG - GIẢI PHÁP DIỆT MUỖI AN TOÀN, HIỆU QUẢ, TIỆN LỢI!  Thời tiết nóng bức, không khí ẩm thấp tạo cơ hội cho muỗi quấy hoành hà...",,2025-12-03,taxable,,1,,,no,no,,,,,1,,345000,345000,,,,https://salt.tikicdn.com/cache/750x750/ts/product/c7/95/ba/923e7a53b64339f5f70ad6dcc36a9889.png,,,,,,,,,0
276645741,simple,5852314250897,"Đế Kê Chậu Cây, Đế Lót Chậu Cây Có Bánh Xe Di Chuyển Đa Năng Và Khay Hứng Nước Tiện Lợi",1,0,visible,,"Kệ Kê Chậu Cây ĐƯỢC LÀM BẰNG CHẤT LIỆU : Nhựa ABS Siêu Cứng,Siêu Tải Chịu Lực Tốt Lên Đến 80KG. KÍCH THƯỚC ĐẾ Có 3 size : 27cm x 27cm x 10cm ( Phụ hợp đáy chậu: 18cm-22cm) 30cm x 30cm x 10cm (Phụ...",,2025-12-03,taxable,,1,,,no,no,,,,,1,,78000,88000,,,,https://salt.tikicdn.com/cache/750x750/ts/product/25/3e/94/4f62c302b1b52b8d00ce3915eebef352.jpg,,,,,,,,,0
277740606,simple,4107162845172,Nồi lẩu chống dính vân đá Elmich El-5553GY28 size 28cm  - Hàng chính hãng,1,0,visible,,"– Kiểu dáng hiện đại, sang trọng– Phía trong phủ chống dính tuyệt đối an toàn cho sức khỏe– Thân được tạo ra bằng công nghệ nén áp lực cao lên đến 5.000 tấn giúp giữ nhiệt lâu, phân tán đều nên đồ ă...",,2025-12-03,taxable,,1,,,no,no,,,,,1,,424000,759000,,,,https://salt.tikicdn.com/cache/750x750/ts/product/cb/b1/5d/8ffae9f9c68de0e516f209d61fb4fd9f.jpg,,,,,,,,,0
277532601,simple,6413815093020,"Bình đựng và rót dầu ăn, nước gia vị thủy tinh Kalpen SB1 dung tích 500ml",1,0,visible,,"Bình đựng và rót dầu ăn, nước gia vị thủy tinh Kalpen SB1 500mlTên sản phẩm: Bình đựng dầu gia vị SB1 KalpenModel: SB1Thương hiệu: Kalpen ĐứcDung tích: 500mlChất liệu:- Vòi làm bằng thép không gỉ 304...",,2025-12-03,taxable,,1,,,no,no,,,,,1,,199000,199000,,,,https://salt.tikicdn.com/cache/750x750/ts/product/0a/5a/3a/cd812307d20cd47cfc0fb0ff57c4c723.jpg,,,,,,,,,0
278007590,simple,3126205731820,"Thiết Bị Tiết Kiệm Điện Thông Minh Gỉam Đến 20% Điện Năng – Lắp Nhanh, Tiết Kiệm Lâu Dài, Công Nghệ Nhật ĐÈN LED",1,0,visible,,"Thiết Bị Tiết Kiệm Điện Nhật Bản Giảm Đến 20% Tiền Điện – Giải Pháp Vàng Cho Gia Đình ViệtBạn đang lo lắng vì hóa đơn tiền điện ngày càng tăng? Bạn muốn tìm một giải pháp an toàn, hiệu quả để giảm t...",,2025-12-03,taxable,,1,,,no,no,,,,,1,,198000,198000,,,,https://salt.tikicdn.com/cache/750x750/ts/product/e0/a8/5a/e093a9e1ef2d732f376b97d06a200ca7.jpg,,,,,,,,,0
782921,simple,3930727172551,Gối Memory Foam 50D Lock & Lock HLW114 (61 x 34 x 10 cm),1,0,visible,,"Sự lựa chọn lý tưởngGối Memory Foam 50D Lock & Lock HLW114 có xuất xứ từ Hàn Quốc, là sự lựa chọn lý tưởng để nâng niu và chăm sóc giấc ngủ của bạn, được người tiêu dùng đánh giá cao về chất lượn...",,2025-12-03,taxable,,1,,,no,no,,,,,1,,495000,833000,,,,https://salt.tikicdn.com/cache/750x750/media/catalog/producttmp/07/4a/8c/9062e8cd95e4ff591a6607197fa3aa9e.jpg,,,,,,,,,0
277481924,simple,7849338756575,"Bình Nước Giữ Nhiệt 450ML Mini Inox SUS 316 – Giữ Nhiệt Lâu, Dễ Dàng Mang Theo - HÀNG CHÍNH HÃNG MINIIN",1,0,visible,,"Bình Nước Giữ Nhiệt 450ML Mini Inox SUS 316 – Giữ Nhiệt Lâu, Dễ Dàng Mang Theo Bình Nước Giữ Nhiệt Mini 450ML Inox SUS 316 – Giữ Nóng & Lạnh Tốt Thể Tích: 450ML, kích thước nhỏ gọn, lý tưởng c...",,2025-12-03,taxable,,1,,,no,no,,,,,1,,107000,107000,,,,https://salt.tikicdn.com/cache/750x750/ts/product/47/d0/1c/58efa993f655bdbae21ca3adc7d26d46.png,,,,,,,,,0
275269842,simple,7094891776551,"Khăn Tắm Cao Cấp, Tiêu Chuẩn Khách Sạn 5 Sao, SAGATEX, Chất Liệu Cotton Tự Nhiên Thấm Hút Tốt, Mềm Mại",1,0,visible,,"THÔNG TIN SẢN PHẨM  - KHĂN TẮM CAO CẤP SAGATEX CAO CẤP tiêu chuẩn khách sạn 5 sao, mềm mịn thấm hút tốt. KHĂN TẮM SAGATEX được làm hoàn toàn từ cotton tự nhiên, thông qua quá trình kiểm đị...",,2025-12-03,taxable,,1,,,no,no,,,,,1,,209000,209000,,,,https://salt.tikicdn.com/cache/750x750/ts/product/d7/f5/4b/232421a5289a1209f06a17cab454f03e.jpg,,,,,,,,,0
275304643,simple,9308893286122,Hộp 200 Tăm Bông Ngoáy Tai Hai Đầu Vệ Sinh Tai Mũi Trang Điểm Kháng Khuẩn Mềm Mịn,1,0,visible,,"HỘP 200 Tăm bông 2 đầu y tế kháng khuẩn vệ sinh tai, mũi- Tăm bông 2 đầu siêu mềm mại, an toàn và vệ sinh.+ Đầu bông giọt nước thích hợp vệ sinh khử khuẩn hàng ngày+ Đầu xoắn ốc lấy những bụi bẩn ...",,2025-12-03,taxable,,1,,,no,no,,,,,1,,45000,55000,,,,https://salt.tikicdn.com/cache/750x750/ts/product/ff/b2/21/2e135d2abb612bd2be8fcdc2bc680482.jpg,,,,,,,,,0
274563667,simple,7118768792074,Kẹp bát đĩa nhà bếp chống nóng tay cầm inox 304 Hobby home decor KI4,1,0,visible,,Kẹp bát đĩa nhà bếp chống nóng tay cầm inox 304 Hobby home decor KI1Thông tin kỹ thuậtChất liệu Inox 304 xước không rỉ sétĐệm cán cầm tay su hạn chế nhiệt nóngKẹp mở rộng 2.2cm có lớp cao su c...,,2025-12-03,taxable,,1,,,no,no,,,,,1,,49000,59000,,,,https://salt.tikicdn.com/cache/750x750/ts/product/18/67/70/0d30de7798f75c994410bba38673f2fb.jpg,,,,,,,,,0
